financial_year,state,area_of_expenditure,broad_source_of_funding,detailed_source_of_funding,real_expenditure_millions
2007-08,WA,Medical services,Government,Australian Government,1385
2007-08,WA,Other health practitioners,Government,Australian Government,113
2007-08,WA,Patient transport services,Government,Australian Government,35
2007-08,WA,Patient transport services,Government,State and local,88
2007-08,WA,Private hospitals,Government,Australian Government,342
2007-08,WA,Private hospitals,Government,State and local,258
2007-08,WA,Public health,Government,Australian Government,150
2007-08,WA,Public health,Government,State and local,79
2007-08,WA,Public hospitals,Government,Australian Government,1310
2007-08,WA,Public hospitals,Government,State and local,1856
2007-08,WA,Research,Government,Australian Government,215
2007-08,WA,Research,Government,State and local,35
2007-08,SA,Administration,Government,Australian Government,126
2007-08,SA,Administration,Government,State and local,223
2007-08,SA,Aids and appliances,Government,Australian Government,35
2007-08,SA,All other medications,Government,Australian Government,25
2007-08,SA,Benefit-paid pharmaceuticals,Government,Australian Government,574
2007-08,SA,Capital expenditure,Government,Australian Government,13
2007-08,SA,Capital expenditure,Government,State and local,124
2007-08,SA,Community health,Government,Australian Government,65
2007-08,SA,Community health,Government,State and local,398
2007-08,SA,Dental services,Government,Australian Government,57
2007-08,SA,Dental services,Government,State and local,58
2007-08,SA,Medical expense tax rebate,Government,Australian Government,22
2007-08,SA,Medical services,Government,Australian Government,1165
2007-08,SA,Other health practitioners,Government,Australian Government,95
2007-08,SA,Patient transport services,Government,Australian Government,21
2007-08,SA,Patient transport services,Government,State and local,102
2007-08,SA,Private hospitals,Government,Australian Government,217
2007-08,SA,Private hospitals,Government,State and local,5
2007-08,SA,Public health,Government,Australian Government,110
2007-08,SA,Public health,Government,State and local,82
2007-08,SA,Public hospitals,Government,Australian Government,1110
2007-08,SA,Public hospitals,Government,State and local,1572
2007-08,SA,Research,Government,Australian Government,205
2007-08,SA,Research,Government,State and local,28
2007-08,TAS,Administration,Government,Australian Government,45
2007-08,TAS,Aids and appliances,Government,Australian Government,11
2007-08,TAS,All other medications,Government,Australian Government,9
2007-08,TAS,Benefit-paid pharmaceuticals,Government,Australian Government,183
2007-08,TAS,Capital expenditure,Government,Australian Government,6
2007-08,TAS,Capital expenditure,Government,State and local,39
2007-08,TAS,Community health,Government,Australian Government,16
2007-08,TAS,Community health,Government,State and local,155
2007-08,TAS,Dental services,Government,Australian Government,11
2007-08,TAS,Dental services,Government,State and local,23
2007-08,TAS,Medical expense tax rebate,Government,Australian Government,5
2007-08,TAS,Medical services,Government,Australian Government,351
2007-08,TAS,Other health practitioners,Government,Australian Government,31
2007-08,TAS,Patient transport services,Government,Australian Government,5
2007-08,TAS,Patient transport services,Government,State and local,41
2007-08,TAS,Private hospitals,Government,Australian Government,75
2007-08,TAS,Private hospitals,Government,State and local,16
2007-08,TAS,Public health,Government,Australian Government,47
2007-08,TAS,Public health,Government,State and local,24
2007-08,TAS,Public hospitals,Government,Australian Government,372
2007-08,TAS,Public hospitals,Government,State and local,364
2007-08,TAS,Research,Government,Australian Government,37
2007-08,TAS,Research,Government,State and local,10
2007-08,ACT,Administration,Government,Australian Government,87
2007-08,ACT,Administration,Government,State and local,0
2007-08,ACT,Aids and appliances,Government,Australian Government,6
2007-08,ACT,All other medications,Government,Australian Government,5
2007-08,ACT,Benefit-paid pharmaceuticals,Government,Australian Government,87
2007-08,ACT,Capital expenditure,Government,Australian Government,4
2007-08,ACT,Capital expenditure,Government,State and local,36
2007-08,ACT,Community health,Government,Australian Government,9
2007-08,ACT,Community health,Government,State and local,129
2007-08,ACT,Dental services,Government,Australian Government,13
2007-08,ACT,Dental services,Government,State and local,9
2007-08,ACT,Medical expense tax rebate,Government,Australian Government,14
2007-08,ACT,Medical services,Government,Australian Government,233
2007-08,ACT,Other health practitioners,Government,Australian Government,28
2007-08,ACT,Patient transport services,Government,Australian Government,5
2007-08,ACT,Patient transport services,Government,State and local,2
2007-08,ACT,Private hospitals,Government,Australian Government,38
2007-08,ACT,Private hospitals,Government,State and local,0
2007-08,ACT,Public health,Government,Australian Government,30
2007-08,ACT,Public health,Government,State and local,26
2007-08,ACT,Public hospitals,Government,Australian Government,202
2007-08,ACT,Public hospitals,Government,State and local,457
2007-08,ACT,Research,Government,Australian Government,142
2007-08,ACT,Research,Government,State and local,16
2007-08,NT,Administration,Government,Australian Government,33
2007-08,NT,Aids and appliances,Government,Australian Government,3
2007-08,NT,All other medications,Government,Australian Government,6
2007-08,NT,Benefit-paid pharmaceuticals,Government,Australian Government,42
2007-08,NT,Capital expenditure,Government,Australian Government,6
2007-08,NT,Capital expenditure,Government,State and local,12
2007-08,NT,Community health,Government,Australian Government,145
2007-08,NT,Community health,Government,State and local,145
2007-08,NT,Dental services,Government,Australian Government,3
2007-08,NT,Dental services,Government,State and local,14
2007-08,NT,Medical expense tax rebate,Government,Australian Government,2
2007-08,NT,Medical services,Government,Australian Government,104
2007-08,NT,Other health practitioners,Government,Australian Government,6
2007-08,NT,Patient transport services,Government,Australian Government,14
2007-08,NT,Patient transport services,Government,State and local,45
2007-08,NT,Private hospitals,Government,Australian Government,10
2007-08,NT,Private hospitals,Government,State and local,1
2007-08,NT,Public health,Government,Australian Government,30
2007-08,NT,Public health,Government,State and local,69
2007-08,NT,Public hospitals,Government,Australian Government,170
2007-08,NT,Public hospitals,Government,State and local,355
2007-08,NT,Research,Government,Australian Government,12
2007-08,NT,Research,Government,State and local,0
2008-09,NSW,Administration,Government,Australian Government,560
2008-09,NSW,Aids and appliances,Government,Australian Government,156
2008-09,NSW,All other medications,Government,Australian Government,118
2008-09,NSW,Benefit-paid pharmaceuticals,Government,Australian Government,2564
2008-09,NSW,Capital expenditure,Government,Australian Government,28
2008-09,NSW,Capital expenditure,Government,State and local,687
2008-09,NSW,Community health,Government,Australian Government,174
2008-09,NSW,Community health,Government,State and local,1342
2008-09,NSW,Dental services,Government,Australian Government,479
2008-09,NSW,Dental services,Government,State and local,194
2008-09,NSW,Medical expense tax rebate,Government,Australian Government,205
2008-09,NSW,Medical services,Government,Australian Government,5671
2008-09,NSW,Other health practitioners,Government,Australian Government,442
2008-09,NSW,Patient transport services,Government,Australian Government,96
2008-09,NSW,Patient transport services,Government,State and local,449
2008-09,NSW,Private hospitals,Government,Australian Government,857
2008-09,NSW,Public health,Government,Australian Government,395
2008-09,NSW,Public health,Government,State and local,267
2008-09,NSW,Public hospitals,Government,Australian Government,5069
2008-09,NSW,Public hospitals,Government,State and local,5779
2008-09,NSW,Research,Government,Australian Government,971
2008-09,NSW,Research,Government,State and local,161
2008-09,VIC,Administration,Government,Australian Government,395
2008-09,VIC,Aids and appliances,Government,Australian Government,107
2008-09,VIC,All other medications,Government,Australian Government,83
2008-09,VIC,Benefit-paid pharmaceuticals,Government,Australian Government,1852
2008-09,VIC,Capital expenditure,Government,Australian Government,20
2008-09,VIC,Capital expenditure,Government,State and local,512
2008-09,VIC,Community health,Government,Australian Government,109
2008-09,VIC,Community health,Government,State and local,836
2008-09,VIC,Dental services,Government,Australian Government,201
2008-09,VIC,Dental services,Government,State and local,125
2008-09,VIC,Medical expense tax rebate,Government,Australian Government,136
2008-09,VIC,Medical services,Government,Australian Government,4209
2008-09,VIC,Other health practitioners,Government,Australian Government,327
2008-09,VIC,Patient transport services,Government,Australian Government,48
2008-09,VIC,Patient transport services,Government,State and local,307
2008-09,VIC,Private hospitals,Government,Australian Government,770
2008-09,VIC,Private hospitals,Government,State and local,75
2008-09,VIC,Public health,Government,Australian Government,298
